Actor1,Actor2,collaboration_count
Doug Jones,Sonequa Martin-Green,2
Aura Garrido,Daniel Calparsoro,2
Prilly Latuconsina,Sandrinna Michelle,2
Demet Akbag,Hakan Algül,2
Michael Madsen,Uma Thurman,2
Bonni Cohen,Jon Shenk,2
Ikue Ôtani,Sarah Natochenny,2
Bryce Papenbrook,Johnny Yong Bosch,2
Lutesha,Putri Marino,2
Mike Nawrocki,Rob Paulsen,2
Andrea Libman,Briana Buckmaster,2
Junichi Suwabe,Natsumi Fujiwara,2
Glen Keane,Lucas Neff,2
Mike Birbiglia,Seth Barrish,2
David Pastor,Àlex Pastor,2
Murat Boz,Seda Bakan,2
Alkoya Brunson,Savage Steve Holland,2
Ross Duffer,Shawn Levy,2
Jack De Sena,Mae Whitman,2
Juan Pablo Medina,Manolo Caro,2
Hasan Abdulfattah,Mohamed Hamdy,2
Bill Cosby,Robert Townsend,2
Ava Michelle,Griffin Gluck,2
Hiroki Yasumoto,Kôji Yusa,2
Maria Casadevall,Pathy Dejesus,2
Ibraheem Alkhairallah,Malik Nejer,2
Ali Afshar,Shaun Paul Piccinino,2
Taichi Ishidate,Takehito Koyasu,2
Mr. Lawrence,Tom Kenny,2
Amber Lee Connors,Luci Christian,2
Alberto Farnese,Bruno Corbucci,2
Kiana Madeira,Olivia Scott Welch,2
Andy Richter,Danny Jacobs,2
Dayci Brookshire,Robbie Daymond,2
Colleen OShaughnessey,Roger Craig Smith,2
Julien Leclercq,Sami Bouajila,2
Iko Uwais,Timo Tjahjanto,2
Sergio Corbucci,Totò,2
Chicco Jerikho,Jajang C. Noer,2
Dwayne Johnson,Gal Gadot,2
Nicholas Saputra,Riri Riza,2
Kerry Gudjohnsen,Paul Killam,2
Luis Tosar,Salvador Calvo,2
